[ 2025-09-08 15:46:05,949 ] 20 root - INFO - Initiate the data ingestion
[ 2025-09-08 15:46:09,017 ] 65 root - INFO - Performed train test split on the dataframe
[ 2025-09-08 15:46:09,017 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-09-08 15:46:09,017 ] 75 root - INFO - Exporting train and test file path.
[ 2025-09-08 15:46:09,056 ] 84 root - INFO - Exported train and test file path.
[ 2025-09-08 15:46:09,057 ] 22 root - INFO - Data Initiation Completed
[ 2025-09-08 15:46:09,062 ] 27 root - INFO - Initiate the data Validation
[ 2025-09-08 15:46:09,166 ] 32 root - INFO - Required number of columns:2
[ 2025-09-08 15:46:09,168 ] 33 root - INFO - Data frame has columns:31
[ 2025-09-08 15:46:09,169 ] 32 root - INFO - Required number of columns:2
[ 2025-09-08 15:46:09,169 ] 33 root - INFO - Data frame has columns:31
[ 2025-09-08 15:46:09,288 ] 29 root - INFO - data Validation Completed
[ 2025-09-08 15:46:09,288 ] 33 root - INFO - data Transformation started
[ 2025-09-08 15:46:09,288 ] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2025-09-08 15:46:09,288 ] 65 root - INFO - Starting data transformation
[ 2025-09-08 15:46:09,310 ] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2025-09-08 15:46:09,310 ] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2025-09-08 15:46:09,320 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-09-08 15:46:09,323 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-09-08 15:46:09,323 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-09-08 15:46:09,325 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-09-08 15:46:09,325 ] 37 root - INFO - data Transformation completed
