[ 2025-09-08 14:25:24,943 ] 20 root - INFO - Initiate the data ingestion
[ 2025-09-08 14:25:27,188 ] 65 root - INFO - Performed train test split on the dataframe
[ 2025-09-08 14:25:27,188 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-09-08 14:25:27,189 ] 75 root - INFO - Exporting train and test file path.
[ 2025-09-08 14:25:27,243 ] 84 root - INFO - Exported train and test file path.
[ 2025-09-08 14:25:27,244 ] 22 root - INFO - Data Initiation Completed
[ 2025-09-08 14:25:27,254 ] 27 root - INFO - Initiate the data Validation
[ 2025-09-08 14:25:27,355 ] 32 root - INFO - Required number of columns:2
[ 2025-09-08 14:25:27,357 ] 33 root - INFO - Data frame has columns:31
[ 2025-09-08 14:25:27,357 ] 32 root - INFO - Required number of columns:2
[ 2025-09-08 14:25:27,357 ] 33 root - INFO - Data frame has columns:31
[ 2025-09-08 14:25:27,493 ] 29 root - INFO - data Validation Completed
